Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1512.0,1523.949951171875,1480.800048828125,1484.300048828125,1484.300048828125,2135253
2020-01-02,1491.75,1534.300048828125,1486.0999755859375,1529.0,1529.0,2365906
2020-01-03,1524.0,1538.0,1512.0999755859375,1528.8499755859375,1528.8499755859375,2622870
2020-01-06,1515.050048828125,1517.75,1465.449951171875,1469.4000244140625,1469.4000244140625,3151046
2020-01-07,1488.449951171875,1508.0,1442.199951171875,1461.6500244140625,1461.6500244140625,3572603
2020-01-08,1441.0,1481.5999755859375,1439.050048828125,1458.5999755859375,1458.5999755859375,3363919
2020-01-09,1490.0,1515.949951171875,1483.199951171875,1507.6500244140625,1507.6500244140625,3496433
2020-01-10,1510.8499755859375,1521.6500244140625,1484.199951171875,1491.25,1491.25,3189536
2020-01-13,1499.800048828125,1547.0,1487.3499755859375,1539.6500244140625,1539.6500244140625,3732412
2020-01-14,1546.0,1585.0,1470.25,1481.6500244140625,1481.6500244140625,15123110
2020-01-15,1463.4000244140625,1463.4000244140625,1391.3499755859375,1400.5,1400.5,13995235
2020-01-16,1405.0,1415.0,1377.0999755859375,1386.449951171875,1386.449951171875,10544088
2020-01-17,1350.0,1377.0,1317.050048828125,1352.25,1352.25,10020063
2020-01-20,1367.9000244140625,1367.9000244140625,1323.0,1331.949951171875,1331.949951171875,6047237
2020-01-21,1332.0,1350.0,1320.0,1336.3499755859375,1336.3499755859375,4501887
2020-01-22,1346.3499755859375,1348.0,1323.0,1327.4000244140625,1327.4000244140625,3038713
2020-01-23,1330.0,1339.800048828125,1320.0999755859375,1331.800048828125,1331.800048828125,4358219
2020-01-24,1334.0,1345.0,1307.6500244140625,1316.0999755859375,1316.0999755859375,4563516
2020-01-27,1311.5,1312.0,1265.0,1271.199951171875,1271.199951171875,6019701
2020-01-28,1281.0,1284.9000244140625,1240.25,1254.75,1254.75,6103759
2020-01-29,1268.9000244140625,1276.699951171875,1251.0,1258.25,1258.25,3977924
2020-01-30,1252.0,1254.0,1221.550048828125,1231.5,1231.5,5301706
2020-01-31,1245.0,1271.5999755859375,1242.0999755859375,1258.8499755859375,1258.8499755859375,8391172
2020-02-03,1222.0,1268.449951171875,1216.050048828125,1263.0999755859375,1263.0999755859375,7697534
2020-02-04,1273.0,1284.0,1256.25,1272.6500244140625,1272.6500244140625,4632688
2020-02-05,1280.0,1288.6500244140625,1265.199951171875,1272.800048828125,1272.800048828125,4360609
2020-02-06,1280.0,1339.4000244140625,1262.4000244140625,1334.25,1334.25,7628363
2020-02-07,1345.0,1346.050048828125,1294.75,1298.800048828125,1298.800048828125,3850541
2020-02-10,1304.0,1304.0,1268.5,1274.949951171875,1274.949951171875,3955195
2020-02-11,1290.0,1309.9000244140625,1285.050048828125,1292.6500244140625,1292.6500244140625,3456066
2020-02-12,1260.0,1302.9000244140625,1251.699951171875,1277.4000244140625,1277.4000244140625,8957173
2020-02-13,1281.75,1281.75,1225.25,1230.75,1230.75,6508945
2020-02-14,1233.9000244140625,1241.0999755859375,1171.199951171875,1176.0,1176.0,11532869
2020-02-17,1176.0,1209.0,1164.5,1172.949951171875,1172.949951171875,9900428
2020-02-18,1172.699951171875,1172.699951171875,1108.449951171875,1140.699951171875,1140.699951171875,11207411
2020-02-19,1155.0,1168.0,1116.0,1142.1500244140625,1142.1500244140625,14324736
2020-02-20,1145.050048828125,1203.8499755859375,1145.050048828125,1182.199951171875,1182.199951171875,15703698
2020-02-24,1170.0,1189.5,1146.550048828125,1170.25,1170.25,7179792
2020-02-25,1181.0,1182.800048828125,1138.800048828125,1153.8499755859375,1153.8499755859375,6114855
2020-02-26,1145.0,1150.0,1125.199951171875,1135.0,1135.0,5870515
2020-02-27,1139.0,1139.4000244140625,1101.0,1115.550048828125,1115.550048828125,6835782
2020-02-28,1100.0,1118.0,1085.050048828125,1104.050048828125,1104.050048828125,10233947
2020-03-02,1130.0,1136.949951171875,1070.050048828125,1079.25,1079.25,5724823
2020-03-03,1085.0,1117.949951171875,1073.0,1108.050048828125,1108.050048828125,5233056
2020-03-04,1114.449951171875,1114.449951171875,1051.0,1065.949951171875,1065.949951171875,6863681
2020-03-05,1075.0,1094.949951171875,1063.0,1075.0,1075.0,6815347
2020-03-06,998.0,1030.949951171875,913.7999877929688,1014.7999877929688,1014.7999877929688,16835425
2020-03-09,950.0,969.9500122070312,887.0499877929688,903.0999755859375,903.0999755859375,14498980
2020-03-11,889.9000244140625,929.0,845.0,853.5499877929688,853.5499877929688,12305857
2020-03-12,775.2000122070312,831.9500122070312,770.0,784.6500244140625,784.6500244140625,16135734
2020-03-13,724.0,834.7000122070312,551.0999755859375,803.75,803.75,21139779
2020-03-16,747.0,758.7000122070312,655.0,664.1500244140625,664.1500244140625,16613929
2020-03-17,670.0,707.4500122070312,585.4000244140625,604.1500244140625,604.1500244140625,19508083
2020-03-18,629.0,638.8499755859375,374.79998779296875,460.79998779296875,460.79998779296875,74866076
2020-03-19,414.75,472.0,391.75,444.04998779296875,444.04998779296875,29186013
